date,open,high,low,close,volume
2013-02-28,42.689083040393,43.152320168544996,42.689083040393,42.822709135052,816200.0
2013-03-01,42.626724196219,42.911793198158,42.163487068068,42.502006507871,684100.0
2013-03-04,42.323838381659,42.519823320492,41.914051691371,42.163487068068,489700.0
2013-03-05,42.49379598645,42.655403492843,42.215471947663005,42.404014038454,620900.0
2013-03-06,42.008973467272,42.017951662072,40.75202619533,41.057284818516,1751900.0
2013-03-07,41.075241208115,41.506194558495004,40.832829948526,41.066263013316004,785900.0
2013-03-08,41.245826909307,41.299696078105,40.473702156543006,40.778960779729,1025800.0
2013-03-11,40.743048000531005,40.805895364128,40.033770611363,40.240269091754,1315200.0
2013-03-12,40.222312702154,40.356985624148,39.926032273768,40.339029234548995,1218700.0
2013-03-13,40.348007429348996,40.783449877129,40.09661797496,40.635309662935,878700.0
2013-03-14,40.796917169328,40.850786338126,40.195378117756,40.303116455351,854300.0
2013-03-15,40.168443533357,40.339029234548995,39.701577403778,39.827272130973,1579100.0
2013-03-18,39.432231559791,40.047237903562,39.279602248197996,39.773402962175005,811500.0
2013-03-19,39.926032273768,41.3984562209,39.602817260983,40.051727000962,1140600.0
2013-03-20,40.303116455351,40.54552771494001,40.132530754159,40.383920208547,763400.0
2013-03-21,40.024792416563,40.321072844949995,39.620773650582,39.620773650582,963400.0
2013-03-22,39.737490182977,39.782381156975,39.2347112742,39.495078923388,952300.0
2013-03-25,39.548948092185,40.141508948958,39.530991702586,40.069683390560996,1092400.0
2013-03-26,40.240269091754,40.442278474744,40.10559616976,40.31209465015,924800.0
2013-03-27,40.09661797496,40.738558903131,39.791359351774,40.662244247334,849300.0
2013-03-28,40.716113416132,41.820431376481,40.410854792946,41.604954701291,1314800.0
2013-04-01,41.560063727293,41.560063727293,41.075241208115,41.335608857303,1050100.0
2013-04-02,41.62291109089,41.748605818084,41.236848714508,41.524150948095,778200.0
2013-04-03,41.586998311692,41.892256934878,40.931590091322,41.120132182113,773500.0
2013-04-04,40.97648106532,41.106664889914,40.491658546142,40.644287857735,597400.0
2013-04-05,40.186399922956,40.294138260551,39.836250325772,39.970923247766,616100.0
2013-04-08,40.10559616976,40.168443533357,39.800337546574,40.168443533357,508700.0
2013-04-09,40.10559616976,40.743048000531005,39.935010468568,40.356985624148,802500.0
2013-04-10,40.53654952014001,41.160534058711,40.469213059143,41.129110376913,705100.0
2013-04-11,41.012393844518,41.820431376481,40.904655506923,41.802474986882,1024300.0
2013-04-12,40.222312702154,41.075241208115,39.369384196194,39.557926286985,2521800.0
2013-04-15,39.306536832596,39.44120975459,38.211197067047,38.426673742237,2146800.0
2013-04-16,38.579303053829996,38.696019586224,37.843091080264,38.031633171055,1827900.0
2013-04-17,37.896960249060996,38.112436924251,37.070966327499,37.448050509081995,1755100.0
2013-04-18,37.376224950685,37.555788846677,36.882424236708005,37.403159535084,1269300.0
2013-04-19,37.48396328828,37.780243716666,37.367246755885,37.690461768671,933100.0
2013-04-22,37.744330937468,38.642150417427004,37.528854262277996,38.372804573439005,1221000.0
2013-04-23,38.597259443428996,38.803757923819,38.354848183840005,38.696019586224,1234700.0
2013-04-24,38.713975975824,39.288580442996995,38.534412079832,39.126972936605,792100.0
2013-04-25,39.306536832596,39.800337546574,39.180842105402,39.737490182977,841500.0
2013-04-26,39.665664624579996,39.773402962175005,39.252667663799,39.44120975459,872700.0
2013-04-29,39.665664624579996,40.060705195762,39.459166144189,40.033770611363,804400.0
2013-04-30,40.392898403347004,41.757584012884,39.459166144189,41.479259974097,1602600.0
2013-05-01,41.227870519708,41.227870519708,40.581440494138,40.599396883737,984000.0
2013-05-02,40.769982584929,41.362543441702,40.671222442133995,41.209914130109,900300.0
2013-05-03,41.649845675289,41.883278740078,41.533129142894,41.721671233685996,690200.0
2013-05-06,41.676780259688,42.004484369873,41.461303584498,41.83838776608,603000.0
2013-05-07,41.910213324477,42.475839596851,41.739627623284996,42.377079454056,644800.0
2013-05-08,42.251384726861,43.499353804004,42.206493752863004,43.355702687211,962300.0
2013-05-09,43.328768102812006,43.957241738783,43.194095180818,43.562201167601,963700.0
2013-05-10,43.607092141599,43.975198128382,43.382637271609,43.80461242719,715300.0
2013-05-13,44.02906729717999,44.325347725566,43.616070336399005,43.984176323182,884000.0
2013-05-14,43.876437985586996,44.612649959153,43.876437985586996,44.253522167168995,986000.0
2013-05-15,44.23556577757,44.74732288114701,44.136805634775,44.72936649154801,696400.0
2013-05-16,44.630606348752,45.330905543120004,44.325347725566,44.379216894364006,1086700.0
2013-05-17,44.271478556769,45.497002146912,44.271478556769,45.303970958720996,983700.0
2013-05-20,45.16031984192799,45.734924309101,44.944843166738,45.214189010725,679800.0
2013-05-21,45.384774711918,45.636164166306,45.016668725134004,45.043603309533005,689700.0
2013-05-22,45.259079984722995,45.474556659913,44.603671764352995,44.801192049944,722500.0
2013-05-23,44.379216894364006,45.16031984192799,44.325347725566,44.980755945936004,597700.0
2013-05-24,44.783235660345,45.232145400325,44.433086063161,45.223167205524994,561400.0
2013-05-28,45.618207776707,46.152410367282,45.559849510509004,45.995291958290004,1001800.0
2013-05-29,45.731093308466995,46.535841181419,45.541187641178,46.264637802277,1462100.0
2013-05-30,46.174206532140005,46.436457215538,46.011430245893,46.147077151099005,721000.0
