Date,High,Low,Open,Close,Adj Close
1989-01-03,100000.0,100000.0,100000.0,100000.0,100000.0
1989-01-04,94655.43888155046,94655.43888155046,94655.43888155046,94655.43888155046,94655.43888155046
1989-01-05,94147.0709311132,94147.0709311132,94147.0709311132,94147.0709311132,94147.0709311132
1989-01-06,93436.17497118916,93436.17497118916,93436.17497118916,93436.17497118916,93436.17497118916
1989-01-09,93038.38190962808,93038.38190962808,93038.38190962808,93038.38190962808,93038.38190962808
1989-01-10,93656.87230875272,93656.87230875272,93656.87230875272,93656.87230875272,93656.87230875272
1989-01-11,92132.78412719941,92132.78412719941,92132.78412719941,92132.78412719941,92132.78412719941
1989-01-12,90941.95727079896,90941.95727079896,90941.95727079896,90941.95727079896,90941.95727079896
1989-01-13,90263.29783693557,90263.29783693557,90263.29783693557,90263.29783693557,90263.29783693557
1989-01-16,89980.87914583035,89980.87914583035,89980.87914583035,89980.87914583035,89980.87914583035
1989-01-17,90572.49218760333,90572.49218760333,90572.49218760333,90572.49218760333,90572.49218760333
1989-01-18,87745.8098517663,87745.8098517663,87745.8098517663,87745.8098517663,87745.8098517663
1989-01-19,87380.24614711944,87380.24614711944,87380.24614711944,87380.24614711944,87380.24614711944
1989-01-20,87669.54035117717,87669.54035117717,87669.54035117717,87669.54035117717,87669.54035117717
1989-01-23,89552.07120613103,89552.07120613103,89552.07120613103,89552.07120613103,89552.07120613103
1989-01-24,85803.7988562779,85803.7988562779,85803.7988562779,85803.7988562779,85803.7988562779
1989-01-25,85084.72995512126,85084.72995512126,85084.72995512126,85084.72995512126,85084.72995512126
1989-01-26,82933.04328387717,82933.04328387717,82933.04328387717,82933.04328387717,82933.04328387717
1989-01-27,81027.49254977913,81027.49254977913,81027.49254977913,81027.49254977913,81027.49254977913
1989-01-30,80108.11634157137,80108.11634157137,80108.11634157137,80108.11634157137,80108.11634157137
1989-01-31,78039.20664086861,78039.20664086861,78039.20664086861,78039.20664086861,78039.20664086861
1989-02-01,78288.6290459865,78288.6290459865,78288.6290459865,78288.6290459865,78288.6290459865
1989-02-02,78377.67682830173,78377.67682830173,78377.67682830173,78377.67682830173,78377.67682830173
1989-02-03,78224.75056523972,78224.75056523972,78224.75056523972,78224.75056523972,78224.75056523972
1989-02-06,78716.21517527841,78716.21517527841,78716.21517527841,78716.21517527841,78716.21517527841
1989-02-07,75883.43587048673,75883.43587048673,75883.43587048673,75883.43587048673,75883.43587048673
1989-02-08,76665.07703926192,76665.07703926192,76665.07703926192,76665.07703926192,76665.07703926192
1989-02-09,78554.6064582734,78554.6064582734,78554.6064582734,78554.6064582734,78554.6064582734
1989-02-10,81721.43585769493,81721.43585769493,81721.43585769493,81721.43585769493,81721.43585769493
1989-02-13,81217.9279578147,81217.9279578147,81217.9279578147,81217.9279578147,81217.9279578147
1989-02-14,81819.63620207296,81819.63620207296,81819.63620207296,81819.63620207296,81819.63620207296
1989-02-15,79690.289901132,79690.289901132,79690.289901132,79690.289901132,79690.289901132
1989-02-16,79286.09419257115,79286.09419257115,79286.09419257115,79286.09419257115,79286.09419257115
1989-02-17,77654.25222542913,77654.25222542913,77654.25222542913,77654.25222542913,77654.25222542913
1989-02-21,78221.19579085168,78221.19579085168,78221.19579085168,78221.19579085168,78221.19579085168
1989-02-22,82257.54215325842,82257.54215325842,82257.54215325842,82257.54215325842,82257.54215325842
1989-02-23,81232.04525868151,81232.04525868151,81232.04525868151,81232.04525868151,81232.04525868151
1989-02-24,85309.53553904333,85309.53553904333,85309.53553904333,85309.53553904333,85309.53553904333
1989-02-27,84685.20428319265,84685.20428319265,84685.20428319265,84685.20428319265,84685.20428319265
1989-02-28,83708.15358414184,83708.15358414184,83708.15358414184,83708.15358414184,83708.15358414184
1989-03-01,85217.91211575484,85217.91211575484,85217.91211575484,85217.91211575484,85217.91211575484
1989-03-02,82695.8385255293,82695.8385255293,82695.8385255293,82695.8385255293,82695.8385255293
1989-03-03,81662.34494199646,81662.34494199646,81662.34494199646,81662.34494199646,81662.34494199646
1989-03-06,78510.64792808906,78510.64792808906,78510.64792808906,78510.64792808906,78510.64792808906
1989-03-07,79248.83509779909,79248.83509779909,79248.83509779909,79248.83509779909,79248.83509779909
1989-03-08,79011.14321832168,79011.14321832168,79011.14321832168,79011.14321832168,79011.14321832168
1989-03-09,79101.6025513325,79101.6025513325,79101.6025513325,79101.6025513325,79101.6025513325
1989-03-10,79928.85172274148,79928.85172274148,79928.85172274148,79928.85172274148,79928.85172274148
1989-03-13,77944.78948078278,77944.78948078278,77944.78948078278,77944.78948078278,77944.78948078278
1989-03-14,78113.9047578865,78113.9047578865,78113.9047578865,78113.9047578865,78113.9047578865
1989-03-15,76914.34942664832,76914.34942664832,76914.34942664832,76914.34942664832,76914.34942664832
1989-03-16,74792.92743154014,74792.92743154014,74792.92743154014,74792.92743154014,74792.92743154014
1989-03-17,79817.51330315936,79817.51330315936,79817.51330315936,79817.51330315936,79817.51330315936
1989-03-20,82066.41993086037,82066.41993086037,82066.41993086037,82066.41993086037,82066.41993086037
1989-03-21,80869.65555832617,80869.65555832617,80869.65555832617,80869.65555832617,80869.65555832617
1989-03-22,81554.12705151337,81554.12705151337,81554.12705151337,81554.12705151337,81554.12705151337
1989-03-23,82929.11434858401,82929.11434858401,82929.11434858401,82929.11434858401,82929.11434858401
1989-03-27,81366.38665175499,81366.38665175499,81366.38665175499,81366.38665175499,81366.38665175499
1989-03-28,80523.65622890493,80523.65622890493,80523.65622890493,80523.65622890493,80523.65622890493
1989-03-29,79852.46224236593,79852.46224236593,79852.46224236593,79852.46224236593,79852.46224236593
1989-03-30,79693.0235185332,79693.0235185332,79693.0235185332,79693.0235185332,79693.0235185332
1989-03-31,77857.42564787624,77857.42564787624,77857.42564787624,77857.42564787624,77857.42564787624
1989-04-03,76565.5693355577,76565.5693355577,76565.5693355577,76565.5693355577,76565.5693355577
1989-04-04,77289.13733721057,77289.13733721057,77289.13733721057,77289.13733721057,77289.13733721057
1989-04-05,76573.2219496046,76573.2219496046,76573.2219496046,76573.2219496046,76573.2219496046
1989-04-06,77296.86227079615,77296.86227079615,77296.86227079615,77296.86227079615,77296.86227079615
1989-04-07,75856.36510815256,75856.36510815256,75856.36510815256,75856.36510815256,75856.36510815256
1989-04-10,75864.58288103927,75864.58288103927,75864.58288103927,75864.58288103927,75864.58288103927
1989-04-11,74773.72982617527,74773.72982617527,74773.72982617527,74773.72982617527,74773.72982617527
1989-04-12,74396.85815946935,74396.85815946935,74396.85815946935,74396.85815946935,74396.85815946935
1989-04-13,76317.07992333912,76317.07992333912,76317.07992333912,76317.07992333912,76317.07992333912
1989-04-14,72526.64526601134,72526.64526601134,72526.64526601134,72526.64526601134,72526.64526601134
1989-04-17,72312.57147569275,72312.57147569275,72312.57147569275,72312.57147569275,72312.57147569275
1989-04-18,69225.41368194256,69225.41368194256,69225.41368194256,69225.41368194256,69225.41368194256
1989-04-19,68467.94631204476,68467.94631204476,68467.94631204476,68467.94631204476,68467.94631204476
1989-04-20,69092.21674336639,69092.21674336639,69092.21674336639,69092.21674336639,69092.21674336639
1989-04-21,66810.41403657831,66810.41403657831,66810.41403657831,66810.41403657831,66810.41403657831
1989-04-24,67348.48879276014,67348.48879276014,67348.48879276014,67348.48879276014,67348.48879276014
1989-04-25,68562.76354121364,68562.76354121364,68562.76354121364,68562.76354121364,68562.76354121364
1989-04-26,68432.89217940239,68432.89217940239,68432.89217940239,68432.89217940239,68432.89217940239
1989-04-27,66659.19953094241,66659.19953094241,66659.19953094241,66659.19953094241,66659.19953094241
1989-04-28,66666.42094422493,66666.42094422493,66666.42094422493,66666.42094422493,66666.42094422493
1989-05-01,66938.36962532105,66938.36962532105,66938.36962532105,66938.36962532105,66938.36962532105
1989-05-02,67544.24979456335,67544.24979456335,67544.24979456335,67544.24979456335,67544.24979456335
1989-05-03,67484.18065267049,67484.18065267049,67484.18065267049,67484.18065267049,67484.18065267049
1989-05-04,67625.93738903596,67625.93738903596,67625.93738903596,67625.93738903596,67625.93738903596
1989-05-05,67700.6537021137,67700.6537021137,67700.6537021137,67700.6537021137,67700.6537021137
1989-05-08,68653.3581717961,68653.3581717961,68653.3581717961,68653.3581717961,68653.3581717961
1989-05-09,69073.61730819952,69073.61730819952,69073.61730819952,69073.61730819952,69073.61730819952
